English,Italian
Not,Non
Of,Di
That,Quello
And,E
And,E
there,Là
The,IL
a,UN
to,A
For,Per
in,In
a,UN
me,Me
I am,Sono
I have,Io ho
but,Ma
the,IL
the,IL
has,ha
the,IL
Yes,SÌ
you,Voi
the,IL
with,con
What,Che cosa
if,Se
I,IO
as,COME
from,da
There,Là
No,NO
This,Questo
here,Qui
And',E'
you have,hai
six,sei
of the,del
Well,BENE
you,Voi
Yes,SÌ
me,Me
more,Di più
to the,al
my,Mio
there's,c'è
Why,Perché
she,Lei
Alone,Solo
tea,tè
era,epoca
The,IL
All,Tutto
from the,dal
Like this,Così
my,Mio
no,NO
this,Questo
Do,Fare
When,Quando
Now,Ora
Done,Fatto
to be,essere
I know,Lo so
never,Mai
Who,Chi
or,O
at the,al
everyone,tutti
Very,Molto
of the,del
Also,Anche
said,disse
that,Quello
go,andare
Nothing,Niente
Thank you,Grazie
him,lui
I want,Voglio
we have,abbiamo
state,stato
In the,Nel
his,il suo
Where,Dove
I can,Io posso
Oh,OH
Before,Prima
At that time,A quel tempo
we are,noi siamo
of,Di
a,UN
a,UN
its,suo
your,tuo
they have,loro hanno
us,noi
is,È
ago,fa
two,due
you want,vuoi
Still,Ancora
something,qualcosa
TRUE,VERO
house,casa
is,È
on,SU
your,tuo
Always,Sempre
Perhaps,Forse
say,Dire
you,Voi
They,Essi
the',IL'
other,altro
you know,Sai
you are,sei
I have to,Devo
that,Quello
life,vita
that,Quello
from the,dal
time,tempo
go,andare
Certain,Certo
Then,Poi
in the,nel
man,Uomo
Gentleman,Signore
to,A
bit,morso
can,Potere
I believe,Credo
you,Voi
Already,Già
Now,Ora
let's go,andiamo
years,anni
to the,al
view,visualizzazione
out,fuori
own,Proprio
part,parte
Really,Veramente
wants,vuole
there,Là
of the,del
I'm,Io sono
How much,Quanto
time,tempo
away,lontano
on the,sul
And,E
God,Dio
will be,sarà
After,Dopo
without,senza
things,cose
Nobody,Nessuno
you do,fate
day,giorno
and,E
Better,Meglio
father,padre
you can,puoi
HI,CIAO
what's that?,che cos'è?
you have to,si deve
Here you are,Ecco
someone,qualcuno
from the,dal
Work,Lavoro
he knows,lo sa
to the,al
see,Vedere
Everything is fine,Va tutto bene
ii,ii
too,pure
place,posto
which,Quale
so much,tanto
bad,Cattivo
come on,Dai
there is,c'è
need,Bisogno
Mr,Sig
Well,BENE
Why,Perché
You come,Tu vieni
to the,al
from the,dal
was,era
Between,Fra
go,andare
